GPU_Key,CPU_Key,GameName,GameResolution,GameSetting,FPS,G3Dmark,cpuMark
rtx2080ti,93900x,callOfDutyWW2,1080.0,med,215.3,21796.0,32751.0
rtx2080ti,73800x,callOfDutyWW2,1080.0,med,213.2,21796.0,23275.0
rtx2080ti,73700x,callOfDutyWW2,1080.0,med,210.2,21796.0,22716.0
rtx2080ti,53600x,callOfDutyWW2,1080.0,med,209.2,21796.0,18285.0
rtx2080ti,53600,callOfDutyWW2,1080.0,med,203.2,21796.0,17822.0
rtx2080ti,52600x,callOfDutyWW2,1080.0,med,197.3,21796.0,14053.0
rtx2080ti,51600x,callOfDutyWW2,1080.0,med,185.2,21796.0,12943.0
rtx2080ti,52600,callOfDutyWW2,1080.0,med,183.2,21796.0,13195.0
rtx2080ti,71700x,callOfDutyWW2,1080.0,med,177.2,21796.0,15496.0
rtx2080,93900x,callOfDutyWW2,1080.0,med,199.3,18732.0,32751.0
rtx2080,73800x,callOfDutyWW2,1080.0,med,197.5,18732.0,23275.0
rtx2080,73700x,callOfDutyWW2,1080.0,med,194.6,18732.0,22716.0
rtx2080,53600x,callOfDutyWW2,1080.0,med,193.7,18732.0,18285.0
rtx2080,53600,callOfDutyWW2,1080.0,med,188.2,18732.0,17822.0
rtx2080,52600x,callOfDutyWW2,1080.0,med,182.6,18732.0,14053.0
rtx2080,51600x,callOfDutyWW2,1080.0,med,171.5,18732.0,12943.0
rtx2080,52600,callOfDutyWW2,1080.0,med,169.6,18732.0,13195.0
rtx2080,71700x,callOfDutyWW2,1080.0,med,164.1,18732.0,15496.0
gtx1080ti,93900x,callOfDutyWW2,1080.0,med,195.6,18284.0,32751.0
gtx1080ti,73800x,callOfDutyWW2,1080.0,med,193.7,18284.0,23275.0
gtx1080ti,73700x,callOfDutyWW2,1080.0,med,191.0,18284.0,22716.0
gtx1080ti,53600x,callOfDutyWW2,1080.0,med,190.1,18284.0,18285.0
gtx1080ti,53600,callOfDutyWW2,1080.0,med,184.6,18284.0,17822.0
gtx1080ti,52600x,callOfDutyWW2,1080.0,med,179.2,18284.0,14053.0
gtx1080ti,51600x,callOfDutyWW2,1080.0,med,168.0,18284.0,12943.0
gtx1080ti,52600,callOfDutyWW2,1080.0,med,166.4,18284.0,13195.0
gtx1080ti,71700x,callOfDutyWW2,1080.0,med,161.2,18284.0,15496.0
gtxtitanx,93900x,callOfDutyWW2,1080.0,med,194.5,13173.0,32751.0
gtxtitanx,73800x,callOfDutyWW2,1080.0,med,192.7,13173.0,23275.0
gtxtitanx,73700x,callOfDutyWW2,1080.0,med,190.1,13173.0,22716.0
gtxtitanx,53600x,callOfDutyWW2,1080.0,med,189.1,13173.0,18285.0
gtxtitanx,53600,callOfDutyWW2,1080.0,med,183.7,13173.0,17822.0
gtxtitanx,52600x,callOfDutyWW2,1080.0,med,178.4,13173.0,14053.0
gtxtitanx,51600x,callOfDutyWW2,1080.0,med,167.4,13173.0,12943.0
gtxtitanx,52600,callOfDutyWW2,1080.0,med,165.6,13173.0,13195.0
gtxtitanx,71700x,callOfDutyWW2,1080.0,med,160.2,13173.0,15496.0
rtx2070super,93900x,callOfDutyWW2,1080.0,med,193.6,18168.0,32751.0
rtx2070super,73800x,callOfDutyWW2,1080.0,med,191.7,18168.0,23275.0
rtx2070super,73700x,callOfDutyWW2,1080.0,med,189.1,18168.0,22716.0
rtx2070super,53600x,callOfDutyWW2,1080.0,med,188.1,18168.0,18285.0
rtx2070super,53600,callOfDutyWW2,1080.0,med,182.8,18168.0,17822.0
rtx2070super,52600x,callOfDutyWW2,1080.0,med,177.4,18168.0,14053.0
rtx2070super,51600x,callOfDutyWW2,1080.0,med,166.5,18168.0,12943.0
rtx2070super,52600,callOfDutyWW2,1080.0,med,164.7,18168.0,13195.0
rtx2070super,71700x,callOfDutyWW2,1080.0,med,159.3,18168.0,15496.0
rtx2070,93900x,callOfDutyWW2,1080.0,med,189.4,16079.0,32751.0
rtx2070,73800x,callOfDutyWW2,1080.0,med,187.6,16079.0,23275.0
rtx2070,73700x,callOfDutyWW2,1080.0,med,184.9,16079.0,22716.0
rtx2070,53600x,callOfDutyWW2,1080.0,med,184.0,16079.0,18285.0
rtx2070,53600,callOfDutyWW2,1080.0,med,178.7,16079.0,17822.0
rtx2070,52600x,callOfDutyWW2,1080.0,med,173.5,16079.0,14053.0
rtx2070,51600x,callOfDutyWW2,1080.0,med,162.9,16079.0,12943.0
rtx2070,52600,callOfDutyWW2,1080.0,med,161.2,16079.0,13195.0
rtx2070,71700x,callOfDutyWW2,1080.0,med,155.9,16079.0,15496.0
rtx2060super,93900x,callOfDutyWW2,1080.0,med,184.8,16514.0,32751.0
rtx2060super,73800x,callOfDutyWW2,1080.0,med,183.1,16514.0,23275.0
rtx2060super,73700x,callOfDutyWW2,1080.0,med,180.4,16514.0,22716.0
rtx2060super,53600x,callOfDutyWW2,1080.0,med,179.7,16514.0,18285.0
rtx2060super,53600,callOfDutyWW2,1080.0,med,174.4,16514.0,17822.0
rtx2060super,52600x,callOfDutyWW2,1080.0,med,169.3,16514.0,14053.0
rtx2060super,51600x,callOfDutyWW2,1080.0,med,159.0,16514.0,12943.0
rtx2060super,52600,callOfDutyWW2,1080.0,med,157.2,16514.0,13195.0
rtx2060super,71700x,callOfDutyWW2,1080.0,med,152.1,16514.0,15496.0
rtx2060,93900x,callOfDutyWW2,1080.0,med,181.2,13953.0,32751.0
rtx2060,73800x,callOfDutyWW2,1080.0,med,179.6,13953.0,23275.0
rtx2060,73700x,callOfDutyWW2,1080.0,med,177.0,13953.0,22716.0
rtx2060,53600x,callOfDutyWW2,1080.0,med,176.1,13953.0,18285.0
rtx2060,53600,callOfDutyWW2,1080.0,med,171.0,13953.0,17822.0
rtx2060,52600x,callOfDutyWW2,1080.0,med,166.0,13953.0,14053.0
rtx2060,51600x,callOfDutyWW2,1080.0,med,155.9,13953.0,12943.0
rtx2060,52600,callOfDutyWW2,1080.0,med,154.3,13953.0,13195.0
rtx2060,71700x,callOfDutyWW2,1080.0,med,149.1,13953.0,15496.0
